step_size,leapfrog_steps,acceptance_rate
0.001,5,0.8526666666666667
0.001,10,0.12666666666666668
0.001,20,0.5866666666666667
0.001,30,0.24733333333333332
0.002,5,0.12066666666666667
0.002,10,0.25466666666666665
0.002,20,0.21666666666666667
0.002,30,0.36866666666666664
0.003,5,0.4533333333333333
0.003,10,0.17333333333333334
0.003,20,0.43933333333333335
0.003,30,0.16
0.005,5,0.06866666666666667
0.005,10,0.05466666666666667
0.005,20,0.128
0.005,30,0.244
0.01,5,0.9433333333333334
0.01,10,0.037333333333333336
0.01,20,0.07266666666666667
0.01,30,0.064
