donor_id,x_cont1,x_cont2,x_cont3,x_cont4,x_cont5,x_cont6,x_cont7,x_cont8,x_cont9,x_cont10,x_cont11,x_cont12,x_cont13,x_cont14,x_cont15,x_cont16,x_cont17,x_cont18,x_cont19,x_cont20,x_cont21,x_cont22,x_cont23,x_cont24,x_cont25,x_cont26,x_cont27,x_cont28,x_cont29,x_cont30,x_cont31,x_cont32,x_cont33,x_cont34,x_cont35,x_cont36,x_cont37,x_cont38,x_cont39,x_cont40,x_cont41,x_cont42,x_cont43,x_cont44,x_cont45,x_cont46,x_cont47,x_cont48,x_cont49,x_cont50,x_cont51,x_cont52,x_cont53,x_cont54,x_cont55,x_cont56,x_cont57,x_cont58,x_cont59,x_cont60,x_cont61,x_cont62,x_cont63,x_cont64,x_cont65,x_cont66,x_cont67,x_cont68,x_cont69,x_cont70,x_cont71,x_cont72,x_cont73,x_cont74,x_cont75,x_cont76,x_cont77,x_cont78,x_cont79,x_cont80,x_cont81,x_cont82,x_cont83,x_cont84,x_cont85,x_cont86,x_cont87,x_cont88,x_cont89,x_cont90,x_cont91,C(cat0)[1],C(cat0)[2],C(cat0)[3],C(cat1)[T.2],C(cat1)[T.3],C(cat2)[T.2],C(cat2)[T.3],x_bin1,x_bin2,CT1,CT2,CT3,CT4,CT5
S001,1.0668802,0.19454929,-0.53082895,0.09190082,-0.17753708,-0.91930884,-2.0777557,2.0391903,0.80289966,-0.9309037,-0.37243122,-0.32097384,-2.761791,2.2201302,-0.5240285,2.0442302,-1.503317,-0.92099166,1.6565661,1.2164996,-0.13337173,0.090186976,-1.9638752,-1.2975146,-0.12767641,1.2370013,-0.48032993,0.04852386,0.7252745,-0.2162137,-1.1249276,-0.54031414,-1.3838587,-0.8971375,-0.050034795,0.69567424,0.19286934,1.7396606,0.6794399,0.9634546,-0.19742137,0.15653515,0.09631752,-0.5451952,-1.0502573,-0.43391898,-1.022288,-0.16537125,2.4139588,0.2488353,0.12052763,0.09494219,-0.48224023,0.056432538,0.15451556,1.6400992,0.027366942,-0.6762608,0.14566843,-0.82164186,0.6862211,-0.3535916,1.261449,0.23729937,0.79968053,0.57147914,-0.11904784,1.428806,0.16323058,0.5481279,1.9119221,-0.6717832,0.5097069,0.9380831,-1.5096327,0.2502807,-1.0585686,0.023305742,0.7399934,-0.13090725,1.5869875,1.7167603,0.5825556,1.9439446,1.3065428,1.0265679,-1.3919641,-0.51183665,-1.1094544,-0.19528143,0.6641765,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,59,84,8,3,19
S002,0.13263017,-0.9495619,1.6579262,-1.8232133,-0.3455717,-1.4734628,-0.3524902,0.33450705,1.7795329,-0.55334395,-0.7303192,-0.34984493,0.5890883,-0.4902829,0.99660504,-1.3514439,1.5821325,-0.922283,-0.26776496,3.1179976,0.27890092,0.46484998,0.20632675,-1.3853343,-1.5879099,0.32870257,0.27359188,-1.1471924,1.2765543,1.4057766,0.38227043,-1.49287,-1.443453,-1.7638882,0.33737603,-0.8756429,-1.9828827,0.3548929,0.4230418,-1.2718669,1.1860285,0.6159182,-0.7621072,-0.7915563,-0.29434365,1.6527822,-0.18542212,0.70741963,1.8702419,0.61307573,-0.087990336,-1.093804,1.2219284,0.6058365,-0.72478676,0.21246353,-0.41843387,0.73601216,1.2322092,0.015115274,0.19510777,-0.38496074,-0.3548851,1.5163145,1.2619144,0.072192885,0.18872833,0.28226355,-0.16160186,-1.2403686,0.56094843,-1.6696821,-0.1629555,1.1181297,-0.16681595,0.6043264,-0.9072806,0.086772226,-0.19644924,0.8138312,0.08040831,-0.5876,1.139931,-0.3810975,1.0830473,0.072592154,0.8391527,-0.5389996,-1.4964238,0.55639964,-1.4045963,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,79,0,0,0,0
S003,0.18097834,-1.5009785,-0.7864651,-0.6714106,-1.1446699,0.4082013,-0.9844988,-0.796327,1.1198293,-1.3458581,-0.94733346,-1.0209639,0.0462832,1.2065225,-1.0881797,2.6030872,-0.1465458,0.09385855,-0.29238513,-0.5360593,0.3864634,-0.1276369,2.0343015,-0.6334384,-0.8138742,-2.0401638,-0.43372703,0.004730515,0.26220936,0.34110662,-1.4088837,0.1604034,-0.40761608,-2.028491,-1.1925817,-0.034942638,-1.1712877,-1.229338,-0.15579255,0.67357785,1.819851,-0.75123554,-0.936885,2.0683506,0.27995458,2.5944808,0.8819004,-1.0257554,0.46924257,1.7892131,-1.5625353,1.6624701,-0.97851884,-2.7488093,-2.095285,1.4227022,-1.4071904,-0.26087102,1.4959042,-1.2370065,-0.23070389,0.034665447,-1.1753132,0.61044765,0.017017324,-0.85878557,-0.37180138,0.09693463,-0.873971,1.7849919,-0.2689088,-0.59559417,-0.061995063,-0.29712936,1.4873027,-1.327974,0.50542974,-0.97380716,-0.41747788,0.46299997,0.5199014,0.017027756,-2.3014922,-0.4990272,-1.5277858,-1.6142973,0.5615719,1.7751864,1.6932647,2.512943,0.9754486,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,24,35,5,0,7
S004,0.10595691,0.98418593,1.3626928,-0.744132,-1.5920743,0.71932733,1.2340564,-0.031504598,-1.0632969,-0.3166534,0.21312702,-0.86317796,-1.648657,-0.16242845,0.118229,0.9206871,1.3687407,-2.3305628,0.52817607,0.22897717,-0.62268734,0.318874,2.8790445,-0.16065922,-0.9241185,-1.3656904,0.14783129,-0.020697178,1.0015073,-0.36024883,-1.5883142,-1.5750515,-2.365837,-1.0400753,-0.5350365,0.3623047,-1.1080416,-0.024738085,-1.4124396,-1.0148166,0.7229113,-0.13275486,0.94021124,2.325162,-0.8639263,0.05036767,0.109253496,-0.8444336,-0.7473713,-0.2818014,-0.22703475,-1.2499162,-1.4439038,-1.6137761,0.6500076,-0.99353254,-0.05471876,1.1709228,-0.91776484,1.2272342,-0.7610796,-1.1453441,0.11979513,0.039405774,-0.73698443,-1.6884269,-0.4303904,-0.12816352,1.467716,0.8440515,-0.70043766,-1.2735468,-0.19575444,-0.325487,1.0652502,2.8473084,-0.5720293,0.29782227,1.1004694,0.14520018,-0.23528731,-1.0504539,2.0171,0.18423189,-0.47984445,-2.0449882,0.22509483,-0.09594181,-1.1098446,-0.9182921,0.02492827,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,14,0,4,49,0
S005,-0.11367972,1.2345507,0.5302716,0.1011641,0.25265747,-0.9770216,0.48407695,-1.0919255,0.25061026,-1.2235652,0.35756436,0.12899396,1.3026814,0.92437345,-1.1585498,-1.1696267,-1.0901875,-0.28940865,0.7059862,-1.2391616,0.39803717,-0.179279,-0.63114446,-0.16945463,-0.8956435,0.09195797,1.2626092,1.3253092,-0.1875474,-0.99714744,0.5253172,-0.65357584,0.0057396824,-0.14362937,1.6774364,-0.88310534,0.012923486,-0.31623033,1.8227167,-0.003164618,-0.87113416,-0.5773507,-0.9647543,-1.1772546,-0.60614157,-0.58897746,0.85416335,1.1897963,-1.5596474,-0.72185105,0.028617613,-1.4259704,1.3933456,-0.52346253,0.4231337,-0.21199548,0.20223443,-1.1926134,0.73106027,-0.19048916,-0.29974347,-0.30259663,-1.1755345,-0.42507988,-0.26292935,-1.2414755,-0.24950501,-1.5217268,-0.53777087,-2.1699538,-0.67188185,0.46801284,-0.12251673,1.4394767,-2.1235275,1.9982635,0.6735967,0.12813616,-0.25354406,0.041425522,-0.8410017,1.7185228,-0.6065864,0.5152801,1.1535991,0.56807894,0.5510348,-0.82769555,-1.2581401,-0.71912235,0.61784387,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10,22,1,151,13
S006,1.4843754,-0.6691678,1.1288322,-0.2321473,-0.32480454,-2.2262936,0.14490485,0.4387444,0.27574655,0.38232744,-1.7273906,0.2520714,-0.3679933,0.97205347,0.7105682,1.3253831,-0.85352105,0.3718142,0.68036175,-1.2369903,0.21780641,1.1226087,-0.6587909,-1.4665989,-1.3967161,-1.4153407,-1.1590519,-0.95870185,-1.6618788,-1.5082164,-0.05853628,2.0483618,1.5485377,0.5153474,-0.9250275,-0.8817564,0.5284343,-0.89605206,2.4108906,1.8810226,-1.2464938,0.8990087,1.0347519,-1.1236032,1.120458,0.40866375,0.9512186,2.8947551,-0.38714135,0.538938,-0.08501794,0.6453533,-0.39775914,0.3686187,1.245727,0.15457077,0.8158888,1.1781547,-1.0898786,0.98570585,-0.093408264,-0.6579418,-0.47554392,0.12444164,1.9132656,0.024323927,-0.44484088,-1.2571449,-0.4112427,1.6336224,-1.8597546,-0.4070364,0.09531983,-1.1773584,0.401663,-0.9575422,-0.9943764,-1.3955386,-0.1107654,-1.3419055,1.6852694,0.5506082,0.7196853,-0.92936724,-1.186754,0.16134915,1.9955046,0.26908982,-0.25810862,-0.6352554,0.5530634,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,102,21,0,1,0
S007,1.3711629,-1.0571628,-0.025088103,-1.524841,0.4434614,-0.39181882,-0.4468744,1.1026394,-1.0275607,0.2017905,-0.727934,1.7272393,0.6239493,-0.8585774,0.99580854,0.04044339,-2.5478349,1.5423648,-0.4478659,0.4581103,-0.37710473,0.31082428,-1.5777445,0.47642627,0.50710076,0.6452853,-0.5662239,1.3902617,-0.21747339,-0.019483378,-0.5381563,1.4278617,-1.7079123,-1.0724137,-0.83471376,1.2032472,-2.4629734,0.029510349,-1.4320213,0.70088595,1.027033,0.33539534,0.36933243,-1.0459665,-0.1481329,1.5722136,-1.1349554,0.7608044,0.5904243,-0.0302373,-0.26416537,1.1350366,-0.64579064,1.2318041,1.3080837,-1.7463664,-0.49467444,-2.1264522,0.013740516,-1.0844791,-1.42314,-0.76345646,-1.1040462,0.115916334,-0.31040454,0.27618092,0.24645373,0.14026585,-0.21439685,1.8743206,0.5049669,-0.45336777,-1.3921812,1.4181006,-0.08664941,-1.3182831,0.84867454,-0.13684115,0.12959719,-0.7247936,-0.9214608,1.5986699,1.5100598,-1.1911901,0.4573012,1.0899613,0.558942,-0.7465912,-0.7423312,0.15236263,0.11791468,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,9,101,0,0,0
S008,-0.9380762,1.4046631,0.2926338,0.21295993,1.5161994,-1.9278609,1.6482993,-1.4907613,0.1334358,-0.7659918,0.92541355,0.21636872,-0.51012254,-1.3577715,-1.3380394,-0.58360547,-0.76387584,0.45818117,-0.035630926,-0.34662563,-1.0597645,-3.358525,0.110130906,0.8452932,-0.11676221,-0.426889,-0.9304015,1.0396752,0.36717835,-1.4994447,0.15667331,0.83095646,1.0784233,1.7673509,0.7086859,0.7600694,0.1311276,-1.2191806,0.18560891,0.92119944,-0.14797308,-1.5829022,-1.2391975,-0.34741142,2.5913334,-0.5444737,-0.29698026,-0.6401622,-1.0205863,-0.88756156,2.7901142,1.7429718,1.1726593,-1.475487,0.5252378,1.1853498,-1.0904408,-0.030776687,-0.862881,-1.5410163,-0.1473328,0.38345245,0.08618769,0.56853336,0.7085675,0.97750443,-0.23520179,2.6738398,0.45648226,0.4481683,0.019299315,0.70468056,-1.365078,-0.21555676,0.52405465,-0.55288035,2.4768736,1.2672219,-1.9729041,0.7241686,0.8296237,-0.14848381,-1.2079406,1.7586255,0.13019943,-1.1672515,0.6290168,-0.24523604,0.88871866,0.80546933,-0.28589255,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,16,138,15
S009,2.330328,-0.8895493,-0.21101382,-0.3855552,-1.4374695,1.2690437,0.15724461,-2.1412425,1.0057375,1.5765537,-0.34669876,-1.3220643,0.27325442,1.2242457,-0.1663179,0.7436774,-0.07979209,-0.19712931,-0.17118491,-1.6129227,0.28436133,1.1155351,0.3388615,-0.7935867,-0.7772742,-1.0228511,0.5758457,-0.1262458,-0.71411896,0.31853563,0.5236964,0.058755122,0.4323131,0.16333683,-0.8937479,-0.577829,0.07032711,-1.691399,-1.1176883,-1.145715,0.24823003,0.5920055,-0.64236134,-0.1481041,1.2633127,-1.3733174,2.3476768,0.06987648,-0.5520689,1.452777,1.622049,0.7738743,1.4674981,0.23502986,1.012628,0.51458794,0.37673616,-1.0464482,-0.6977434,0.8716463,1.13974,-1.2899776,-2.226181,-0.168811,-0.61093134,-0.484196,-0.1865231,0.21032208,0.12819728,0.079009145,-0.32034892,-0.4401233,0.33045086,-0.5849272,-1.4724784,1.4125203,0.3684239,-0.5110086,1.1533566,1.7452815,0.91830915,0.7767427,0.32218817,0.98794204,-0.54609174,0.6884898,-1.3956947,0.37895638,-1.232018,1.401555,0.4182275,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,13,133,0,0,0
S010,-0.097045906,-0.5410711,-0.5803188,-0.937282,1.4814206,-0.29390168,0.23996477,-0.5336546,1.4990326,-0.92735136,-1.3371513,-0.49736497,1.4254395,-0.30501428,-1.9003156,-0.40898046,-0.73502094,0.016948037,0.9015526,0.6792682,0.5183052,-0.7113103,-0.638082,-0.3779861,-0.90695083,-0.5581867,-0.82025576,0.21351463,0.38846827,0.1811606,0.43465248,0.5229832,-1.8660405,2.147776,0.27831352,-0.036115002,0.3321906,-0.4179986,-0.15097442,1.2620572,-0.19224088,0.40439233,0.4952302,0.49103332,1.9542897,0.48764533,2.0278351,-1.6837778,-0.030142805,0.46688288,-0.15702985,0.8665712,1.0892098,-0.8285301,0.11257166,1.1370088,-2.558959,-0.29407716,-0.2818848,0.85403085,-1.5378476,-1.1547625,0.81684643,-1.3319881,0.2869624,-0.3047927,-0.25673518,-1.3266692,1.215408,0.8066161,-0.24626008,0.747444,-0.6815965,0.33944735,-2.5846987,1.470365,0.341908,0.17168194,-1.0029037,-0.039219502,-0.26645184,-0.8623513,-1.3928366,0.5427954,-0.10890943,0.31593645,1.0972372,1.9219812,0.7564031,-0.7804009,-0.07647637,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,5,8,52,15,26
