donor_id,x_cont1,C(cat0)[1],C(cat0)[2],C(cat0)[3],C(cat1)[T.2],C(cat1)[T.3],C(cat2)[T.2],C(cat2)[T.3],x_bin1,x_bin2,CT1,CT2,CT3,CT4,CT5
S001,1.0668802,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,59,51,0,58,5
S002,0.19454929,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,27,18,4,22,8
S003,-0.53082895,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,39,12,8,7,5
S004,0.09190082,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,51,3,6,7,0
S005,-0.17753708,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,120,40,6,20,11
S006,-0.91930884,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,14,110,0
S007,-2.0777557,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,0,29,81,0
S008,2.0391903,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,122,38,0,0,9
S009,0.80289966,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4,40,0,90,12
S010,-0.9309037,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0,1,62,23,20
S011,-0.37243122,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,47,2,24,20,7
S012,-0.32097384,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,21,8,50,70,18
S013,-2.761791,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0,0,84,2,0
S014,2.2201302,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,14,52,0,0,0
S015,-0.5240285,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,42,12,21,13,11
S016,2.0442302,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1,42,0,11,5
S017,-1.503317,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,61,79,7
S018,-0.92099166,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,73,6,49,17,0
S019,1.6565661,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,14,115,0,0,0
S020,1.2164996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,43,33,0,0,3
S021,-0.13337173,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,36,36,32,40,8
S022,0.090186976,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6,0,16,27,3
S023,-1.9638752,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0,0,144,34,1
S024,-1.2975146,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1,0,36,19,2
S025,-0.12767641,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2,34,2,148,1
S026,1.2370013,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,34,89,0,31,10
S027,-0.48032993,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0,1,3,55,7
S028,0.04852386,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,20,15,14,7,14
S029,0.7252745,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,80,52,3,11,6
S030,-0.2162137,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,14,7,25,11,10
S031,-1.1249276,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,62,0,53,13,32
S032,-0.54031414,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0,15,7,58,20
S033,-1.3838587,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5,0,39,13,16
S034,-0.8971375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14,9,97,32,11
S035,-0.050034795,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,81,66,4,1,5
S036,0.69567424,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,45,39,0,0,1
S037,0.19286934,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,91,58,3,13,3
S038,1.7396606,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,26,28,0,0,0
S039,0.6794399,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3,28,2,62,4
S040,0.9634546,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,93,87,7,11,1
S041,-0.19742137,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0,0,1,75,3
S042,0.15653515,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,40,32,4,40,26
S043,0.09631752,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,109,22,1,8,2
S044,-0.5451952,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0,0,12,37,12
S045,-1.0502573,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,35,136,14
S046,-0.43391898,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3,5,27,21,43
S047,-1.022288,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,20,113,7
S048,-0.16537125,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,107,8,17,7,8
S049,2.4139588,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2,73,0,0,0
S050,0.2488353,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,11,58,2,32,36
S051,0.12052763,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3,13,1,124,3
S052,0.09494219,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,74,11,5,18,0
S053,-0.48224023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2,8,17,33,17
S054,0.056432538,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,33,39,8,15,10
S055,0.15451556,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,85,23,4,1,5
S056,1.6400992,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6,70,0,0,0
S057,0.027366942,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1,18,15,114,15
S058,-0.6762608,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,3,10,37,15
S059,0.14566843,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,32,51,18,33,15
S060,-0.82164186,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,24,2,50,10,15
S061,0.6862211,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,108,50,3,4,4
S062,-0.3535916,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,9,7,47,14,10
S063,1.261449,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,9,51,0,34,0
S064,0.23729937,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,71,11,2,1,5
S065,0.79968053,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,13,66,1,2,0
S066,0.57147914,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0,50,15,113,4
