donor_id,x_cont1,x_cont2,x_cont3,x_cont4,x_cont5,x_cont6,x_cont7,x_cont8,x_cont9,x_cont10,C(cat0)[1],C(cat0)[2],C(cat0)[3],C(cat1)[T.2],C(cat1)[T.3],C(cat2)[T.2],C(cat2)[T.3],x_bin1,x_bin2,CT1,CT2,CT3,CT4,CT5
S001,1.0668802,0.19454929,-0.53082895,0.09190082,-0.17753708,-0.91930884,-2.0777557,2.0391903,0.80289966,-0.9309037,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1,0,0,163,9
S002,-0.37243122,-0.32097384,-2.761791,2.2201302,-0.5240285,2.0442302,-1.503317,-0.92099166,1.6565661,1.2164996,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,7,5,1,66,0
S003,-0.13337173,0.090186976,-1.9638752,-1.2975146,-0.12767641,1.2370013,-0.48032993,0.04852386,0.7252745,-0.2162137,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,25,11,1,30,4
S004,-1.1249276,-0.54031414,-1.3838587,-0.8971375,-0.050034795,0.69567424,0.19286934,1.7396606,0.6794399,0.9634546,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,4,63,0
S005,-0.19742137,0.15653515,0.09631752,-0.5451952,-1.0502573,-0.43391898,-1.022288,-0.16537125,2.4139588,0.2488353,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,26,30,5,127,9
S006,0.12052763,0.09494219,-0.48224023,0.056432538,0.15451556,1.6400992,0.027366942,-0.6762608,0.14566843,-0.82164186,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,4,3,115,1
S007,0.6862211,-0.3535916,1.261449,0.23729937,0.79968053,0.57147914,-0.11904784,1.428806,0.16323058,0.5481279,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0,6,0,104,0
S008,1.9119221,-0.6717832,0.5097069,0.9380831,-1.5096327,0.2502807,-1.0585686,0.023305742,0.7399934,-0.13090725,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,92,64,0,1,12
S009,1.5869875,1.7167603,0.5825556,1.9439446,1.3065428,1.0265679,-1.3919641,-0.51183665,-1.1094544,-0.19528143,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,25,12,0,103,6
S010,0.6641765,0.13263017,-0.9495619,1.6579262,-1.8232133,-0.3455717,-1.4734628,-0.3524902,0.33450705,1.7795329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0,2,0,104,0
