,CT1,CT2,CT3,CT4,CT5
x_cont1,1.61399,2.4495301,-1.1530102,-0.33435348,0.0
x_cont2,-0.48866138,-1.3499267,0.40876192,-0.755513,0.0
x_cont3,0.0,0.0,0.0,0.0,0.0
x_cont4,0.0,0.0,0.0,0.0,0.0
x_cont5,0.0,0.0,0.0,0.0,0.0
x_cont6,0.0,0.0,0.0,0.0,0.0
x_cont7,0.0,0.0,0.0,0.0,0.0
x_cont8,0.0,0.0,0.0,0.0,0.0
x_cont9,0.0,0.0,0.0,0.0,0.0
x_cont10,0.0,0.0,0.0,0.0,0.0
C(cat0)[1],0.0,0.0,0.0,0.0,0.0
C(cat0)[2],0.0,0.0,0.0,0.0,0.0
C(cat0)[3],0.0,0.0,0.0,0.0,0.0
C(cat1)[T.2],0.0,0.0,0.0,0.0,0.0
C(cat1)[T.3],0.0,0.0,0.0,0.0,0.0
C(cat2)[T.2],0.0,0.0,0.0,0.0,0.0
C(cat2)[T.3],2.2484925,0.90279275,0.019729601,0.23634218,0.0
x_bin1,0.0,0.0,0.0,0.0,0.0
x_bin2,-1.1745497,-0.68305796,-0.22088325,1.9310919,0.0
