donor_id,C(cat0)[1],CT1,CT2,CT3,CT4,CT5
S001,1.0,51,95,0,24,3
S002,0.0,23,12,19,16,9
S003,0.0,30,6,10,18,7
S004,0.0,13,23,17,8,6
S005,0.0,68,18,60,37,14
S006,1.0,30,82,0,9,3
S007,1.0,30,73,1,0,6
S008,0.0,30,71,28,19,21
S009,1.0,54,77,0,3,12
S010,0.0,7,54,9,19,17
S011,0.0,33,33,14,13,7
S012,0.0,42,45,14,20,46
S013,0.0,10,12,24,19,21
S014,0.0,8,8,38,6,6
S015,0.0,18,11,25,25,20
S016,1.0,22,30,0,5,2
S017,1.0,19,89,5,11,23
S018,0.0,16,21,62,9,37
S019,0.0,25,20,25,40,19
S020,0.0,25,15,7,12,20
S021,0.0,33,25,40,39,15
S022,1.0,13,38,0,0,1
S023,0.0,46,25,20,46,42
S024,0.0,17,3,7,16,15
S025,1.0,42,128,5,8,4
S026,1.0,34,92,20,16,2
S027,1.0,21,43,0,0,2
S028,0.0,4,6,20,34,6
S029,0.0,39,26,12,35,40
S030,0.0,5,30,13,15,4
S031,0.0,59,23,33,25,20
S032,1.0,46,43,2,1,8
S033,0.0,21,12,14,14,12
S034,0.0,57,17,31,20,38
S035,0.0,59,26,21,15,36
S036,0.0,46,6,4,21,8
S037,0.0,14,24,62,33,35
S038,0.0,23,12,5,8,6
S039,1.0,15,75,1,0,8
S040,0.0,15,52,30,28,74
S041,1.0,15,49,0,1,14
S042,0.0,14,55,23,24,26
S043,0.0,13,38,15,35,41
S044,1.0,33,23,0,2,3
S045,1.0,33,147,0,5,0
S046,0.0,25,17,20,4,33
S047,1.0,47,88,0,1,4
S048,0.0,50,30,9,49,9
S049,0.0,17,28,13,17,0
S050,0.0,22,28,22,18,49
S051,1.0,21,115,0,0,8
S052,0.0,14,27,13,38,16
S053,0.0,16,3,23,15,20
S054,0.0,14,13,8,42,28
S055,0.0,27,13,17,18,43
S056,0.0,6,12,13,32,13
S057,1.0,59,99,0,0,5
S058,1.0,30,34,0,1,0
S059,0.0,28,26,17,45,33
S060,0.0,6,17,18,34,26
S061,0.0,39,27,41,25,37
S062,0.0,18,9,11,29,20
S063,1.0,12,76,0,3,3
S064,0.0,14,16,21,2,37
S065,0.0,4,17,20,10,31
S066,1.0,41,122,0,5,14
S067,0.0,32,43,22,24,45
S068,1.0,50,81,0,17,15
S069,0.0,61,33,41,3,61
S070,0.0,23,9,65,14,35
S071,1.0,37,64,23,17,18
S072,1.0,13,37,3,1,15
S073,0.0,58,11,35,28,8
S074,0.0,19,28,14,49,7
S075,1.0,12,47,3,0,1
S076,0.0,9,16,5,36,10
S077,1.0,20,35,2,0,8
S078,0.0,25,58,37,29,47
S079,0.0,14,46,8,15,28
S080,1.0,22,69,0,0,0
S081,0.0,15,31,54,29,24
S082,0.0,21,27,39,36,38
S083,0.0,14,7,13,24,10
S084,0.0,8,13,8,31,15
